Original,Th,En,ZhCn,ZhTw,Jp
NEW GAME,เริ่มเกมใหม่,New Game,新游戏,,ニューゲーム
Continue,เล่นต่อ,Continue,继续游戏,,コンティニュー
Load Game,โหลดเกม,Load Game,读取游戏,,ロード
LOAD GAME,โหลดเกม,Load Game,读取游戏,,ロード
Options,ตัวเลือก,Options,设定,,設定
Next,ตาถัดไป,Next,次,,次
Menu,เมนู,Menu,菜单,,メニュー
Confirm,ยืนยัน,Confirm,确定,,OK
Cancel,ยกเลิก,Cancel,取消,,キャンセル
Game Start,เริ่่มเกม,Game Start,喧哗上等,,喧嘩上等！
Back,กลับ,Back,返回,,戻る
Status,สถานะ,Status,状态,,ステータス
Item,ไอเท็ม,Item,道具,,アイテム
Upgrade,อัพเกรด,Upgrade,升级,,強化
Empty,ว่างเปล่า,Empty,空,,空
Items Stock,กระเป๋าเก็บของ,Item Stock,道具库,,アイテム
Equip,สวมใส่,Equip,装备,,装備
Next Chapter,บทถัดไป,Next Chapter,下个章节,,次の章
Language,ภาษา,Language,语言,,言語
Master Volume,ระดับเสียง,Master Volume,音量,,音量
BGM,เสียงเพลง,BGM,音乐,,BGM
Sound Effect,เสียงเอฟเฟค,Sound Effect,音效,,効果音
Resolution,ขนาดหน้าจอ,Resolution,分辨率,,解像度
Windows Mode,ปรับเต็มจอ,Windows Mode,窗口模式,,画面
Fullscreen,เต็มจอ,Full Screen,全屏幕,,フルスクリーン
Windowed,ไม่เต็มจอ,Windows,窗口,,ウィンドウ
Quit,ออกจากเกม,Quit,放弃,,終了
Map,แผนที่,Map,地图,,マップ確認
LOADING,กำลังโหลด,LOADING,加载中,,ロード中
LOADING.,กำลังโหลด.,LOADING.,加载中.,,ロード中.
LOADING..,กำลังโหลด.,LOADING..,加载中..,,ロード中..
LOADING...,กำลังโหลด.,LOADING...,加载中...,,ロード中...
Return to title screen?,ต้องการกลับไปสู่ไตเติ้ลเกม?,Return to title screen?,返回到标题屏幕？,,タイトルに戻りますか？
(Unsaved game progress will be lost),(เกมที่ไม่ได้บันทึกจะสูญหาย),(Unsaved game progress will be lost),(未保存的游戏进度将被丢失),,(セーブ前のデータは失われます）
Close,ปิด,Close,关闭,,閉じる
Item Shop,ร้านค้า,Shop,商店,,ショップ
Shop,ร้านค้า,Shop,商店,,ショップ
Save Game,เซฟเกม,Save Game,保存,,セーブ
Save,เซฟเกม,Save Game,保存,,セーブ
Select Chapter,เลือกฉาก,Chapter Select,故事,,ストーリー
SETTING,ปรับแต่ง,Settings,设定,,設定
Settings,ปรับแต่ง,Settings,设定,,設定
Back to title,กลับสู่ไตเติ้ล,Back to title,回到标题,,タイトルに戻る
START,เริ่มเกม,Start,开始游戏,,ゲーム開始
EXIT,ออกจากเกม,Quit,退出游戏,,タイトルに戻る
Reset,Reset,Reset,重设,,リセット
Apply,Apply,Apply,好,,OK
Use,Use,Use,使用,,消費
- Empty -,--Empty--,--Empty--,--空--,,--空--
--Empty--,--Empty--,--Empty--,--空--,,--空--
Buy this item?,ต้องการซื้อไอเท็มนี้?,Buy this item?,确定购买？,,買いますか？
Get Item,ได้รับไอเท็ม!,Got Item!,获得道具！,,アイテム入手！
Shop Unlocked,สินค้าใหม่ในร้าน,Shop inventory upgraded,商店解锁,,ショップ入荷
changing language need to reload the scene,การเปลี่ยนภาษาจะทำการโหลดหน้านี้ใหม่,Reload screen to apply language change,将重新载入画面以改变语言。,,言語を変更するため画面をリロードします。
unsaved data will be lost!,หากไม่ได้เซฟ ข้อมูลจะสูญหาย,Unsaved data will be lost!,将失去未保存的进度。是否确定？,,セーブ前のデータは消えますがよろしいですか？
Buy,ซื้อ,Buy,买入,,買う
Sell,ขาย,Sell,卖出,,売る
Item Stock,ไอเท็ม,Items,道具,,アイテム
Override save data,ต้องการเซฟทับเซฟเดิม,Overwrite save data,覆盖保存数据,,セーブデータを上書きする
the old save data will be deleted,เซฟเดิมจะถูกลบ,Old save data will be deleted,已有的保存数据将被删除,,古いセーブデータは削除されます
Press anykey to continue,Press any key,Press any key,请按任意键,,何かキーを押してください
Press any key to continue,Press any key,Press any key,请按任意键,,何かキーを押してください
RESULT,RESULT,RESULT,战斗结果,,戦闘結果
Story by,Story by,Story by,剧本,,脚本
Producer,Producer,Producer,制作人,,プロデューサー
Lead Developer,Lead Developer,Lead Developer,开发,,開発
Artist & Animator,Artist & Animator,Artist & Animator,美术、动作,,アート & アニメ
Developer ,Developer ,Developer ,开发,,開発
Cutscene Director,Cutscene Director,Cutscene Director,过场动画,,カットシーン
Sound Engineer,Sound Engineer,Sound Engineer,声音,,音響
Stage 3D Artist,Stage 3D Artist,Stage 3D Artist,3D关卡,,ステージ3D
UI Designer,UI Designer,UI Designer,界面设计,,UIデザイン
Model Simulator,Model Simulator,Model Simulator,模型模拟器,,モデルシミュレーター
English translator,English translator,English translator,英语翻译,,英語翻訳
Japanese translator,Japanese translator,Japanese translator,日语翻译,,日本語翻訳
Chinese translator,Chinese translator,Chinese translator,中文翻译,,中国語翻訳
Autosaved,ออโต้เซฟ,Auto-save,自动保存,,オートセーブ中
Restart,รีเซ็ต,Restart,重新挑战,,再戦
Back to menu,กลับสู่เมนู,Return to the menu,返回菜单,,メニューに戻る
- unequip -,ถอดไอเท็ม,Unequip,移除,,外す
Sell this item?,ต้องการขายไอเท็มชิ้นนี้?,Sell this item?,确认卖出吗？,,売りますか？
Combo_tutorial,คอมโบ,Combo,组合,,コンボ
Sell Item,ขาย,Sell,卖出,,売る
Play Time,เวลาที่เล่น,Playtime,游戏时长,,プレイタイム
hr,ชม.,hrs,小时,,時間
min,นาที,min,分钟,,分
REMOVE,ถอดออก,Remove,移除,,外す
Player save,เพลเยอร์เซฟ,Player-save,手動保存,,プレイヤーセーブ
Auto save,ออโต้เซฟ,Auto-save,自动保存,,オートセーブ
Likes,,,,,
Comments,,,,,
Followers,,,,,
Cats Note,,,,,
Gallery,,,,,
Memo,,,,,
Quests,,,,,
Mail Box,,,,,
Chat,,,,,
Money,,,,,
Yen,,,,,
